"ItemCode","ItemName","PurchasesDescription","PurchasesUnitPrice","PurchasesAccount","PurchasesTaxRate","SalesDescription","SalesUnitPrice","SalesAccount","SalesTaxRate","InventoryAssetAccount","CostOfGoodsSoldAccount"
"001","Card product 001","","","","","Card product 001","","200","20% (VAT on Income)","",""
"0015","Card product 0015","","","","","Card product 0015","","200","20% (VAT on Income)","",""
"002","Card product 002","","","","","Card product 002","","200","20% (VAT on Income)","",""
"003","Card product 003","","","","","Card product 003","","200","20% (VAT on Income)","",""
"0031","Card product 0031","","","","","Card product 0031","","200","20% (VAT on Income)","",""
"0032","Card product 0032","","","","","Card product 0032","","200","20% (VAT on Income)","",""
"004","Card product 004","","","","","Card product 004","","200","20% (VAT on Income)","",""
"010","Card product 010","","","","","Card product 010","","200","20% (VAT on Income)","",""
"0102","Card product 0102","","","","","Card product 0102","","200","20% (VAT on Income)","",""
"011","Card product 011","","","","","Card product 011","","200","20% (VAT on Income)","",""
"0111","Card product 0111","","","","","Card product 0111","","200","20% (VAT on Income)","",""
"0112","Card product 0112","","","","","Card product 0112","","200","20% (VAT on Income)","",""
"013","Card product 013","","","","","Card product 013","","200","20% (VAT on Income)","",""
"0131","Card product 0131","","","","","Card product 0131","","200","20% (VAT on Income)","",""
"0135","Card product 0135","","","","","Card product 0135","","200","20% (VAT on Income)","",""
"0143","Card product 0143","","","","","Card product 0143","","200","20% (VAT on Income)","",""
"01435","Card product 01435","","","","","Card product 01435","","200","20% (VAT on Income)","",""
"0144","Card product 0144","","","","","Card product 0144","","200","20% (VAT on Income)","",""
"01441","Card product 01441","","","","","Card product 01441","","200","20% (VAT on Income)","",""
"01442","Card product 01442","","","","","Card product 01442","","200","20% (VAT on Income)","",""
"01445","Card product 01445","","","","","Card product 01445","","200","20% (VAT on Income)","",""
"0146","Card product 0146","","","","","Card product 0146","","200","20% (VAT on Income)","",""
"0147","Card product 0147","","","","","Card product 0147","","200","20% (VAT on Income)","",""
"01475","Card product 01475","","","","","Card product 01475","","200","20% (VAT on Income)","",""
"015","Card product 015","","","","","Card product 015","","200","20% (VAT on Income)","",""
"0151","Card product 0151","","","","","Card product 0151","","200","20% (VAT on Income)","",""
"0152","Card product 0152","","","","","Card product 0152","","200","20% (VAT on Income)","",""
"0153","Card product 0153","","","","","Card product 0153","","200","20% (VAT on Income)","",""
"0154","Card product 0154","","","","","Card product 0154","","200","20% (VAT on Income)","",""
"0155","Card product 0155","","","","","Card product 0155","","200","20% (VAT on Income)","",""
"017","Card product 017","","","","","Card product 017","","200","20% (VAT on Income)","",""
"0171","Card product 0171","","","","","Card product 0171","","200","20% (VAT on Income)","",""
"0172","Card product 0172","","","","","Card product 0172","","200","20% (VAT on Income)","",""
"0173","Card product 0173","","","","","Card product 0173","","200","20% (VAT on Income)","",""
"0174","Card product 0174","","","","","Card product 0174","","200","20% (VAT on Income)","",""
"0175","Card product 0175","","","","","Card product 0175","","200","20% (VAT on Income)","",""
"0176","Card product 0176","","","","","Card product 0176","","200","20% (VAT on Income)","",""
"0191","Card product 0191","","","","","Card product 0191","","200","20% (VAT on Income)","",""
"0192","Card product 0192","","","","","Card product 0192","","200","20% (VAT on Income)","",""
"0193","Card product 0193","","","","","Card product 0193","","200","20% (VAT on Income)","",""
"0704","Card product 0704","","","","","Card product 0704","","200","20% (VAT on Income)","",""
"0705","Card product 0705","","","","","Card product 0705","","200","20% (VAT on Income)","",""
"020","Extra tooling","","","","","Extra tooling","","200","20% (VAT on Income)","",""
"050","International shipping","","","","","International shipping","","200","20% (VAT on Income)","",""
"052","Domestic shipping","","","","","Domestic shipping","","200","20% (VAT on Income)","",""
"910","US Customs Handling Service","","","","","US Customs Handling Service","","200","20% (VAT on Income)","",""
